¸ðµ¨ Á¤È®µµ: 93.3

  ÁÂ¿ì EAR°ª  |  Å¸°Ù  |  ¿¹Ãø |  Á¤´ä  |
 32.09 | 25.42 |    1    |    0    |  False |
 48.04 | 40.44 |    1    |    1    |   True |
 30.49 | 27.72 |    1    |    0    |  False |
 42.07 | 34.40 |    1    |    1    |   True |
 46.40 | 41.38 |    1    |    0    |  False |
 42.98 | 41.08 |    1    |    0    |  False |
 36.11 | 30.04 |    1    |    0    |  False |
 15.44 | 15.58 |    1    |    1    |   True |
 24.11 | 21.93 |    1    |    1    |   True |
 31.97 | 28.76 |    1    |    0    |  False |
 26.14 | 23.98 |    1    |    1    |   True |
 18.00 | 15.37 |    1    |    1    |   True |
 20.00 | 16.66 |    1    |    0    |  False |
 28.26 | 28.55 |    1    |    1    |   True |
 18.70 | 17.81 |    1    |    0    |  False |
 33.33 | 32.16 |    1    |    1    |   True |
 37.01 | 33.92 |    1    |    0    |  False |
 27.98 | 25.06 |    1    |    0    |  False |
 31.97 | 25.97 |    1    |    1    |   True |
 31.97 | 25.86 |    1    |    0    |  False |
 30.12 | 26.87 |    1    |    1    |   True |
 32.00 | 29.55 |    1    |    0    |  False |
 32.00 | 29.55 |    1    |    0    |  False |
 29.14 | 25.06 |    1    |    1    |   True |
 28.14 | 27.61 |    1    |    0    |  False |
 31.22 | 26.12 |    1    |    1    |   True |
 28.12 | 25.90 |    1    |    1    |   True |
 26.98 | 27.61 |    1    |    1    |   True |
 31.97 | 25.13 |    1    |    1    |   True |
 31.14 | 26.87 |    1    |    1    |   True |
 28.82 | 25.77 |    1    |    1    |   True |
 31.97 | 27.85 |    1    |    1    |   True |
 25.86 | 24.86 |    1    |    0    |  False |
 29.98 | 22.97 |    1    |    1    |   True |
 30.68 | 28.50 |    1    |    1    |   True |
 29.14 | 25.77 |    1    |    0    |  False |
 26.90 | 26.03 |    1    |    0    |  False |
 29.98 | 24.21 |    1    |    0    |  False |
 30.68 | 26.03 |    1    |    1    |   True |
 31.97 | 25.06 |    1    |    0    |  False |
 29.61 | 27.70 |    1    |    1    |   True |
 29.72 | 26.76 |    1    |    1    |   True |
 24.07 | 22.47 |    1    |    0    |  False |
 27.78 | 24.16 |    1    |    0    |  False |
 27.78 | 25.77 |    1    |    0    |  False |
 27.87 | 25.90 |    1    |    0    |  False |
 27.78 | 25.19 |    1    |    1    |   True |
 27.76 | 24.08 |    1    |    0    |  False |
 27.78 | 25.19 |    1    |    0    |  False |
 27.91 | 27.61 |    1    |    0    |  False |
 27.78 | 25.99 |    1    |    0    |  False |
 28.96 | 27.72 |    1    |    0    |  False |
 29.61 | 26.74 |    1    |    0    |  False |
 27.89 | 24.86 |    1    |    1    |   True |
 28.97 | 24.21 |    1    |    0    |  False |
 31.70 | 28.63 |    1    |    1    |   True |
 28.85 | 25.99 |    1    |    1    |   True |
 31.97 | 25.77 |    1    |    0    |  False |
 30.75 | 25.90 |    1    |    1    |   True |
 24.15 | 24.08 |    1    |    1    |   True |
 27.98 | 25.99 |    1    |    0    |  False |
 33.43 | 29.42 |    1    |    1    |   True |
 30.92 | 26.88 |    1    |    1    |   True |
 29.98 | 26.88 |    1    |    1    |   True |
 28.00 | 26.88 |    1    |    1    |   True |
 33.30 | 30.53 |    1    |    0    |  False |
 33.35 | 29.45 |    1    |    1    |   True |
 32.10 | 28.50 |    1    |    1    |   True |
 30.12 | 25.00 |    1    |    0    |  False |
 32.10 | 26.75 |    1    |    1    |   True |
 31.90 | 29.42 |    1    |    1    |   True |
 30.92 | 28.52 |    1    |    1    |   True |
 30.80 | 28.50 |    1    |    0    |  False |
 30.80 | 26.64 |    1    |    1    |   True |
 32.70 | 28.35 |    1    |    0    |  False |
 32.79 | 28.39 |    1    |    1    |   True |
 28.76 | 28.50 |    1    |    0    |  False |
 30.68 | 27.72 |    1    |    0    |  False |
 32.02 | 27.48 |    1    |    1    |   True |
 28.82 | 29.68 |    1    |    0    |  False |
 27.78 | 25.99 |    1    |    1    |   True |
 29.61 | 25.86 |    1    |    0    |  False |
 28.00 | 24.93 |    1    |    1    |   True |
 30.87 | 29.45 |    1    |    1    |   True |
 29.72 | 27.74 |    1    |    0    |  False |
 28.82 | 26.12 |    1    |    0    |  False |
 30.87 | 27.85 |    1    |    1    |   True |
 31.97 | 29.54 |    1    |    1    |   True |
 30.77 | 26.98 |    1    |    0    |  False |
 30.75 | 31.61 |    1    |    1    |   True |
 28.85 | 25.06 |    1    |    0    |  False |
 30.75 | 29.66 |    1    |    0    |  False |
 30.75 | 29.66 |    1    |    0    |  False |
 37.04 | 35.69 |    1    |    1    |   True |
 30.87 | 25.77 |    1    |    1    |   True |
 30.75 | 29.66 |    1    |    0    |  False |
 37.50 | 39.79 |    1    |    1    |   True |
 32.69 | 27.65 |    1    |    0    |  False |
 28.85 | 26.87 |    1    |    1    |   True |
 37.99 | 38.35 |    1    |    1    |   True |
 41.45 | 37.56 |    1    |    1    |   True |
 27.89 | 25.95 |    1    |    0    |  False |
 30.36 | 27.45 |    1    |    1    |   True |
 26.79 | 25.95 |    1    |    1    |   True |
 30.77 | 26.87 |    1    |    1    |   True |
 39.42 | 38.35 |    1    |    1    |   True |
 34.63 | 35.68 |    1    |    1    |   True |
 37.57 | 37.89 |    1    |    0    |  False |
 44.87 | 41.58 |    1    |    0    |  False |
 28.85 | 25.90 |    1    |    0    |  False |
 28.85 | 26.87 |    1    |    1    |   True |
 30.75 | 27.82 |    1    |    1    |   True |
 27.04 | 26.98 |    1    |    1    |   True |
 30.87 | 27.95 |    1    |    1    |   True |
